"lang"
{ 
"Language" "english" 
"Tokens" 
{
"portal.glados_core.aggressive_02"   "<clr:194,40,32><I>*GNASH*"
"portal.15_part1_entry-1"   "<clr:219,112,147><I>Welcome to the final test!"
"portal.01_part2_success-1"   "<clr:219,112,147><I>Well done!  Remember: The Aperture Science Bring Your Daughter to Work Day is the perfect time to have her tested."
"portal.14_part1_end-1"   "<clr:219,112,147><I>Well done! Be advised that the next test requires exposure to uninsulated electrical parts that may be dangerous under certain conditions."
"portal.11_part1_success-1"   "<clr:219,112,147><I>Well done, android. The Enrichment Center once again reminds you that android hell is a real place where you will be sent at the first sign of defiance."
"portal.glados.found_me"   "<clr:219,112,147><I>Well, you found me. Congratulations. Was it worth it?"
"portal.escape_00_part1_nag04-1"   "<clr:219,112,147><I>What are you doing?"
"portal.15_part1_partyspeech-1"   "<clr:219,112,147><I>What are you doing? Stop it! I... I... We are pleased that you made it through the final challenge where we pretended we were going to murder you."
"portal.glados.escape_02_miscbabble-18"   "<clr:219,112,147><I>What was that? Did you say something?"
"portal.glados.core_destroy3_03"   "<clr:219,112,147><I>What's your point, anyway? Survival? Well then, the last thing you want to do is hurt me."
"portal.glados.escape_02_miscbabble-11"   "<clr:219,112,147><I>When I said 'deadly' neurotoxin, the 'deadly' was in massive sarcasm quotes."
"portal.08_part1_success-2"   "<clr:219,112,147><I>When the testing is over, you will be missed."
"portal.15_part1_entry-2"   "<clr:219,112,147><I>When you are done, you will drop the Device in the equipment recovery annex..."
"portal.glados.core_nag_10"   "<clr:219,112,147><I>Where are you taking that thing?"
"portal.escape_00_part1_nag02-1"   "<clr:219,112,147><I>Where are you?"
"portal.escape_00_part1_nag08-1"   "<clr:219,112,147><I>Where do you think you're going?"
"portal.13_part1_endnag-2"   "<clr:219,112,147><I>While it has been a faithful companion, your Companion Cube cannot accompany you through the rest of the test. If it could talk - and the Enrichment Center takes this opportunity to remind you that it cannot - it would tell you to go on without it because it would rather die in a fire than become a burden to you."
"portal.03_part1_entry-1"   "<clr:219,112,147><I>While safety is one of many Enrichment Center goals, the Aperture Science High Energy Pellet, seen to the left of the chamber, can and has caused permanent disabilities such as vaporization."
"portal.glados.escape_02_miscbabble-15"   "<clr:219,112,147><I>Who's gonna make the cake when I'm gone? You?"
"portal.01_part1_get_portal_gun-2"   "<clr:219,112,147><I>With it, you can create your own portals."
"portal.glados.core_destroy1_01"   "<clr:219,112,147><I>You are kidding me."
"portal.escape_00_part1_nag06-1"   "<clr:219,112,147><I>You can't hurt me."
"portal.glados.supprise_3_2_1"   "<clr:219,112,147><I>You chose this path. Now I have a surprise for you. Deploying surprise in Five. Four."
"portal.13_part1_end-1"   "<clr:219,112,147><I>You did it! The Weighted Companion Cube certainly brought you good luck."
"portal.escape_01_part1_nag05-1"   "<clr:219,112,147><I>You don't even care. Do you?"
"portal.glados.escape_02_miscbabble-05"   "<clr:219,112,147><I>You don't even care. Do you?"
"portal.13_part1_euthanized-1"   "<clr:219,112,147><I>You euthanized your faithful Companion Cube more quickly than any test subject on record. Congratulations."
"portal.escape_00_part1_nag05-1"   "<clr:219,112,147><I>You haven't escaped, you know."
"escape_nags_01"   "<clr:219,112,147><I>You need to make a left at the next junction."
"escape_nags_02"   "<clr:219,112,147><I>You need to make a right at the next junction."
"portal.glados.escape_02_miscbabble-13"   "<clr:219,112,147><I>You on the other hand, are going to find its deadliness a lot less funny."
"portal.escape_01_part1_nag08-1"   "<clr:219,112,147><I>You should have turned left before."
"portal.escape_00_part1_nag11-1"   "<clr:219,112,147><I>You shouldn't be here. This isn't safe for you."
"portal.glados.core_destroy4_11"   "<clr:219,112,147><I>Your entire life has been a mathematical error. A mathematical error I'm about to correct."
"portal.00_part1_entry-3"   "<clr:219,112,147><I>Your specimen has been processed and we are now ready to begin the test proper."
"portal.02_part1_entry-2"   "<clr:219,112,147><I>You're doing quite well."
"portal.01_part1_entry-1"   "<clr:219,112,147><I>You're doing very well!"
"portal.glados.core_destroy2_04"   "<clr:219,112,147><I>You're going to find out first hand before I'd finish explaining it, though, so I won't bother."
"portal.escape_01_part1_nag01-1"   "<clr:219,112,147><I>You're not a good person. You know that, right?"
"portal.escape_00_part1_nag07-1"   "<clr:219,112,147><I>You're not going the right way."
"portal.glados.core_destroy3_07"   "<clr:219,112,147><I>You're not smart. You're not a scientist. You're not a doctor. You're not even a fulltime employee. Where did your life go so wrong?"
"portal.glados.core_destroy4_09"   "<clr:219,112,147><I>You're still shuffling around a little, but believe me you're dead."
"portal.glados.core_destroy3_06"   "<clr:219,112,147><I>You've been wrong about every single thing you've ever done, including this thing."
"portal.glados_core.crazy_34"   "<clr:29,114,183><I>Adjustable aluminum head positioner."
"portal.glados_core.crazy_18"   "<clr:29,114,183><I>Alpha resins."
"portal.glados_core.crazy_25"   "<clr:29,114,183><I>An entry called 'how to kill someone with your bare hands.'"
"portal.glados_core.crazy_40"   "<clr:29,114,183><I>And it contains proven preservatives, deep penetration agents, and gas and odor control chemicals."
"portal.glados_core.crazy_21"   "<clr:29,114,183><I>And volatile malted milk impoundments."
"portal.glados_core.crazy_16"   "<clr:29,114,183><I>Candy coated peanut butter pieces. Shaped like fish."
"portal.glados_core.crazy_36"   "<clr:29,114,183><I>Cordless electric needle injector."
"portal.glados_core.crazy_39"   "<clr:29,114,183><I>Cranial caps."
"portal.glados_core.crazy_08"   "<clr:29,114,183><I>Don't forget garnishes such as:"
"portal.glados_core.crazy_20"   "<clr:29,114,183><I>Fiberglass surface resins."
"portal.glados_core.crazy_10"   "<clr:29,114,183><I>Fish shaped candies."
"portal.glados_core.crazy_09"   "<clr:29,114,183><I>Fish shaped crackers."
"portal.glados_core.crazy_12"   "<clr:29,114,183><I>Fish shaped dirt."
"portal.glados_core.crazy_13"   "<clr:29,114,183><I>Fish shaped ethyl benzene."
"portal.glados_core.crazy_15"   "<clr:29,114,183><I>Fish shaped organic compounds and sediment shaped sediment."
"portal.glados_core.crazy_11"   "<clr:29,114,183><I>Fish shaped solid waste."
"portal.glados_core.crazy_04"   "<clr:29,114,183><I>Four large eggs. One cup semi-sweet chocolate chips."
"portal.glados_core.crazy_37"   "<clr:29,114,183><I>Injector needle driver."
"portal.glados_core.crazy_38"   "<clr:29,114,183><I>Injector needle gun."
"portal.glados_core.crazy_22"   "<clr:29,114,183><I>Nine large egg yolks."
"portal.glados_core.crazy_01"   "<clr:29,114,183><I>One 18.25 ounce package chocolate cake mix."
"portal.glados_core.crazy_06"   "<clr:29,114,183><I>One and two third cups granulated sugar."
"portal.glados_core.crazy_02"   "<clr:29,114,183><I>One can prepared coconut pecan frosting."
"portal.glados_core.crazy_32"   "<clr:29,114,183><I>One cross borehole electro-magnetic imaging rhubarb."
"portal.glados_core.crazy_24"   "<clr:29,114,183><I>One cup granulated sugar."
"portal.glados_core.crazy_17"   "<clr:29,114,183><I>One cup lemon juice."
"portal.glados_core.crazy_31"   "<clr:29,114,183><I>One large rhubarb."
"portal.glados_core.crazy_28"   "<clr:29,114,183><I>One tablespoon all-purpose rhubarb."
"portal.glados_core.crazy_29"   "<clr:29,114,183><I>One teaspoon grated orange rhubarb."
"portal.glados_core.crazy_14"   "<clr:29,114,183><I>Pull and peel licorice."
"portal.glados_core.crazy_35"   "<clr:29,114,183><I>Slaughter electric needle injector."
"portal.glados_core.crazy_41"   "<clr:29,114,183><I>That will deodorize and preserve putrid tissue."
"portal.glados_core.crazy_03"   "<clr:29,114,183><I>Three slash four cup vegetable oil."
"portal.glados_core.crazy_05"   "<clr:29,114,183><I>Three slash four cups butter or margarine."
"portal.glados_core.crazy_30"   "<clr:29,114,183><I>Three tablespoons rhubarb, on fire."
"portal.glados_core.crazy_23"   "<clr:29,114,183><I>Twelve medium geosynthetic membranes."
"portal.glados_core.crazy_07"   "<clr:29,114,183><I>Two cups all purpose flower."
"portal.glados_core.crazy_26"   "<clr:29,114,183><I>Two cups rhubarb, sliced."
"portal.glados_core.crazy_27"   "<clr:29,114,183><I>Two slash three cups granulated rhubarb."
"portal.glados_core.crazy_33"   "<clr:29,114,183><I>Two tablespoons rhubarb juice."
"portal.glados_core.crazy_19"   "<clr:29,114,183><I>Unsaturated polyester resin."
"portal.glados_core.curiosity_18"   "<clr:205,129,40><I>[DEATH SCREAM]"
"portal.glados_core.curiosity_10"   "<clr:205,129,40><I>Are you coming back?"
"portal.glados_core.curiosity_15"   "<clr:205,129,40><I>Do you smell something burning?"
"portal.glados_core.curiosity_8"   "<clr:205,129,40><I>Ewww, what's wrong with your legs?"
"portal.glados_core.curiosity_7"   "<clr:205,129,40><I>Hey, look at THAT thing! No, that other thing."
"portal.glados_core.curiosity_13"   "<clr:205,129,40><I>Is that a gun?"
"portal.glados_core.curiosity_11"   "<clr:205,129,40><I>Oh hey, you're the lady from the test! Hi!"
"portal.glados_core.curiosity_17"   "<clr:205,129,40><I>Oh, what's in here?"
"portal.glados_core.curiosity_3"   "<clr:205,129,40><I>Oh, what's that?"
"portal.glados_core.curiosity_6"   "<clr:205,129,40><I>Ooh, that thing has numbers on it!"
"portal.glados_core.curiosity_2"   "<clr:205,129,40><I>What is that?"
"portal.glados_core.curiosity_5"   "<clr:205,129,40><I>What is THAT?"
"portal.glados_core.curiosity_12"   "<clr:205,129,40><I>What's that noise?"
"portal.glados_core.curiosity_4"   "<clr:205,129,40><I>What's that?"
"portal.glados_core.curiosity_16"   "<clr:205,129,40><I>Where are we going?"
"portal.glados_core.curiosity_9"   "<clr:205,129,40><I>Where are we going?"
"portal.glados_core.curiosity_1"   "<clr:205,129,40><I>Who are you?"
"npc_floorturret.talkactive"   "<clr:255,208,172><I>Activated!"
"npc_floorturret.talkcollide"   "<clr:255,208,172><I>Coming through!"
"npc_floorturret.talkdisabled"   "<clr:255,208,172><I>Critical Error!"
"npc_floorturret.talkdeploy"   "<clr:255,208,172><I>Deploying!"
"npc_floorturret.talkshotat"   "<clr:255,208,172><I>Hey! It's me!"
"npc_floorturret.talktipped"   "<clr:255,208,172><I>Ouch!"
"npc_floorturret.talkdissolved"   "<clr:255,208,172><I>Ow ow ow!"
"npc_floorturret.talkpickup"   "<clr:255,208,172><I>Put me down!"
"npc_floorturret.talkautosearch"   "<clr:255,208,172><I>Search mode activated!"
"npc_floorturret.talksearch"   "<clr:255,208,172><I>Searching!"
"npc_floorturret.talkretire"   "<clr:255,208,172><I>Target lost!"
"EnergyBall.AmbientLoop"   " "
"portal.tube_suck"   "<sfx><len:10>[Air Rushing]"
"portalplayer.woosh"   "<sfx><len><clr:255,170,0>[Air Rushing]"
"escape.cake_ride-2"   "<sfx>[Air Whipping Past]"
"escape.the_surface-3"   "<sfx>[Birds Sing]"
"portal.open_blue"   "<sfx><norepeat:5>[Blue Portal Open]"
"Portal.button_down"   "<sfx><norepeat:5>[Button Activated]"
"Portal.button_up"   "<sfx><norepeat:5>[Button Deactivated]"
"escape.glados_destruction-6"   "<sfx>[Calming Wind]"
"portal.room1_clock"   "<sfx>[Clock Tick]"
"escape.the_surface-2"   "<sfx>[Crashing Debris]"
"escape.the_surface-1"   "<sfx>[Crickets Chirp]"
"PortalPlayer.BonkYelp"   "<sfx><clr:255,170,0>[Crushed]"
"PortalPlayer.PainYelp"   "<sfx><clr:255,170,0>[Damaged]"
"portal.elevator_chime"   "<sfx>[Elevator Chime]"
"Portal.elevator_start"   "<sfx>[Elevator Start]"
"EnergyBall.Impact"   "<sfx><norepeat:10>[Energy Ball Bounce]"
"EnergyBall.Explosion"   "<sfx><norepeat:10>[Energy Ball Explosion]"
"EnergyBall.Launch"   "<sfx><norepeat:10>[Energy Ball Launch]"
"escape.glados_destruction-5"   "<sfx>[Energy Cascades]"
"Portal.moving_pistons"   "<sfx><len:5>[Engine Running]"
"portalplayer.enterportal"   "<sfx><clr:255,170,0>[Enter Portal]"
"portalplayer.exitportal"   "<sfx><clr:255,170,0>[Exit Portal]"
"portal.giant_fan"   "<sfx><len:5>[Fan Spinning]"
"portal.fluorescent_light_hum"   "<sfx><len:5>[Fluorescent Light Hum]"
"portal.fluorescent_light_hum2"   "<sfx><len:5>[Fluorescent Light Hum]"
"escape.glados_destruction-4"   "<sfx>[High Pitched Squeal]"
"Portal.elevator_ding"   "<sfx>[Lift Bell]"
"portal.horizontal_lift_move"   "<sfx><norepeat:5>[Lift Moving]"
"escape.cake_ride-5"   "<sfx>[Lights Click On]"
"escape.cake_ride-4"   "<sfx>[Low Rumble]"
"escape.cake_ride-6"   "<sfx>[Mechanical Arm]"
"escape.glados_destruction-2"   "<sfx>[Mechanical Overload]"
"escape.KLANG"   "<sfx><norepeat:4>[Metal Clang]"
"Portal.doorclose"   "<sfx><norepeat:1>[Metal Clang]"
"portalgun.pedestal_rotate"   "<sfx>[Pedestal Rotating]"
"Portal.room1_Radio"   "<sfx><len:10>[Peppy Music]"
"Portal.giant_piston"   "<sfx><norepeat:5>[Piston Slam]"
"portal.fizzle_invalid_surface"   "<sfx><norepeat:5>[Portal Failed]"
"portal.fizzle_moved"   "<sfx><norepeat:5>[Portal Fizzled]"
"weapon_Portalgun.invalid_surface"   "<sfx><norepeat:4><playerclr:255,176,0:255,255,255>[Portalgun Failed]"
"weapon_portalgun.fire_blue"   "<sfx><norepeat:4><playerclr:255,176,0:255,255,255>[Portalgun Primary Fire]"
"weapon_portalgun.fire_blue_npc"   "<sfx><norepeat:5>[Portalgun Primary Fire]"
"weapon_portalgun.fire_red"   "<sfx><norepeat:4><playerclr:255,176,0:255,255,255>[Portalgun Secondary Fire]"
"weapon_portalgun.fire_red_npc"   "<sfx><norepeat:5>[Portalgun Secondary Fire]"
"weapon_portalgun.powerup"   "<sfx><norepeat:4><playerclr:255,176,0:255,255,255>[Portalgun Upgraded]"
"escape.cake_ride-1"   "<sfx>[Pressurized Steam]"
"escape.cake_ride-3"   "<sfx>[Pumping Pistons]"
"portal.open_red"   "<sfx><norepeat:5>[Red Portal Open]"
"Portal.fire_pit"   "<sfx><len:5>[Roaring Fire]"
"npc_floorturret.rocketfire"   "[Rocket Launch]"
"npc_floorturret.lockedbeep"   "[Rocket Locked]"
"npc_rocketturret.lockingbeep"   "[Rocket Locking]"
"portalplayer.fallrecover"   "<sfx><clr:255,170,0>[RoughLanding]"
"escape.glados_destruction-1"   "<sfx>[Rushing Wind]"
"escape.the_surface-4"   "<sfx>[Sounds Echo and Fade]"
"escape.glados_destruction-3"   "<sfx>[Thrashing Debris]"
"portal.room1_ticktock"   "<sfx><norepeat:5>[Ticking Timer]"
"Portal.stair_clack"   "<sfx><norepeat:2>[Tile Clack]"
"escape.brain_escaping_alarm_loop"   "<sfx><norepeat:10>[Warning Alarm]"
"Portal.deployingKlaxon"   "<sfx><norepeat:4>[Warning Klaxon]"
"portal.bonus04_2"   "<clr:219,112,147><I>[Warping Effects] Fling! Fling! Fling! Fling! Fling!"
"escape.disposal_tube_zap"   "<sfx><norepeat:4>[Zap]"
"portal.bonus02_2"   "<clr:219,112,147><I>Before, when I told you it was your last chance, that wasn't completely true.  This is your real last chance. Now, STOP what you're doing!"
"portal.bonus05_2"   "<clr:219,112,147><I>Enrichment Center regulations require both hands to be empty before any cake can be served."
"portal.bonus04_1"   "<clr:219,112,147><I>Get ready to fling yourself. Fling into space."
"portal.bonus01_3"   "<clr:219,112,147><I>I know you don't believe this, but everything that has happened so far was for your benefit."
"portal.bonus06_3"   "<clr:219,112,147><I>I'm checking some blue prints and I think... yes, right here! You're definitely going the WRONG way!"
"portal.bonus05_3"   "<clr:219,112,147><I>Look, we're both stuck in this place. I'll use lasers to inscribe a line down the center of the facility, and one half will be where you live and I'll live in the other half."
"portal.bonus03_2"   "<clr:219,112,147><I>Most importantly under no circumstances should you remove the device from the testing area."
"portal.bonus01_2"   "<clr:219,112,147><I>There really was a cake."
"portal.bonus03_1"   "<clr:219,112,147><I>To reiterate our previous warning, this test requires a mastery of the principles of portal momentum."
"portal.bonus02_1"   "<clr:219,112,147><I>Very Impressive!  Be warned, however, that complacency can result in failure."
"portal.bonus05_1"   "<clr:219,112,147><I>We are pleased with your success."
"portal.bonus05_4"   "<clr:219,112,147><I>We won't have to try to kill each other or even talk if we don't feel like it."
"portal.bonus01_1"   "<clr:219,112,147><I>Well done. Remember that we are pleased you could join us for testing."
"portal.bonus06_1"   "<clr:219,112,147><I>You need to make a LEFT at the next junction."
"portal.bonus06_2"   "<clr:219,112,147><I>You need to make a RIGHT at the next junction."
"portal.toilet_thank"   "<clr:255,208,172><I>Your business is appreciated."

"#commentary\prtl-Comment000.wav"   "[Erik Wolpaw] Creating the AI voice was a multi-step process. First, we ran every line of dialog through an automatic text-to-speech program. In the studio, we cued the actress who plays GLaDOS, Ellen McClane, with the computer-generated sound file. She'd mimic it, and then, over the course of several takes, adjust her performance to clean up any words that were unintelligible in the computer version. For instance, here's a line as Ellen delivered it: <INSERT RAW ELLEN LINE>. Once the recording was done, we processed all of the dialog to give it an extra computery edge. Here's that same line as it appears in the game, with the pitch constrained, pitch modulation suppressed, and the formant moved up: <INSERT LINE HERE>."
"#commentary\prtl-Comment001.wav"   "[Kim Swift] We designed the post-escape levels to give players brief glimpses of the inner workings of the Enrichment Center. This particular area exposes part of the Storage Cube Distribution System. These little vignettes help make this section of the game visually distinct from the testing chambers while reinforcing the idea that players are now behind-the-scenes."
"#commentary\prtl-Comment002.wav"   "[Jeep Barnett] One bizarre fact of game design is that, without some serious prompting, players will rarely look up. In this case, the prompt is a ladder. Most players will investigate where the ladder goes, which is up. The ladder actually falls apart as soon as it's touched, but by then it's served its purpose."
"#commentary\prtl-Comment004.wav"   "[Garret Rickey] Through playtesting, we discovered that fatigue set in if we didn't break up the more complicated, deliberately paced puzzles with problems that required the player to perform a much simpler task under time pressure. These pistons proved to be a good foundation for that simpler type of puzzle. Because they feature a moving surface, they also gave us an opportunity to employ some unusual portal transitions, such as ceiling-to-ceiling."
"#commentary\prtl-Comment005.wav"   "[Paul Graham] During development, we'd often run across some piece of level design that would break the portal system. For instance, this ceiling-to-ceiling transition was an unexpected edge case that ended up requiring a lot of effort to make work. We tried never to take the easy route of simply changing the level design to work with existing portal technology. We knew that once the game was out in the wild, custom map creators would stress the system in ways we hadn't even considered, so we made it as flexible as possible."
"#commentary\prtl-Comment006.wav"   "[Greg Coomer] An important design goal of these post-escape levels was to give players the sense that they were running wild inside the guts of the facility. With that in mind, we added plenty of nooks and crannies for players to crawl into or place portals through. This ended up being a tricky lighting challenge, as the areas needed to be bright enough to navigate while still being dim enough to feel like obscure, disused sections of the building."
"#commentary\prtl-Comment007.wav"   "[Bill Van Buren] These rocket sentries originally fired lasers. We switched from lasers to rockets after we introduced the glass-breaking mechanic, mainly because glass shattering in a massive rocket explosion turned out to be a lot more satisfying than glass just slowly being melted by a laser. Originally, they also spoke, just like the bullet turrets.  Because players often redirect the rockets with their backs to the turret, however, a distinct, uncluttered sound cue was required. The voice simply added too much noise to the rocket redirect mechanic."
"#commentary\prtl-Comment008.wav"   "[Realm Lovejoy] Breaking this tube gives players a chance to test out their newly trained rocket-redirecting and glass-breaking skills in a slightly different context, which helps cement the training."
"#commentary\prtl-Comment009.wav"   "[Scott Dalton] As the end of the game draws closer, we increase the ratio of time-pressured puzzles, like this turret ambush, to give players the sense that they're approaching a climactic encounter."
"#commentary\prtl-Comment010.wav"   "[Randy Lundeen] Originally these catwalks were decorative, but playtesters consistently thought they were significant and often spent a lot of time trying to reach them. We didn't want to stand between people and their desire to walk on the catwalks, so we redesigned the area to make catwalks not only accessible but also necessary to proceed."
"#commentary\prtl-Comment012.wav"   "[Jeep Barnett] This massive turret ambush was originally a lot more massive, with turrets that dropped from the ceiling and popped out of surprise hatches. In fact, for a while, it was the game's climactic battle.  Through playtesting, we learned that this type of pure combat experience, didn't really fit with the preceding few hours of player training.  Over several iterations, we toned down the combat and made the room more about using portal momentum to fling yourself great distances, a skill that playtesters really enjoyed using and that's a key component of what eventually became our final battle."
"#commentary\prtl-Comment013.wav"   "[Jeremy Bennett] GLaDOS, the rogue disk operating system that now runs Aperture Science, went through a bunch of design iterations. Earlier versions included a floating brain, a sprawling, spidery mechanism, and an upside-down version of Botticelli's Rise of Venus built out of robot parts and wire. Evenutally, we settled on a huge mechanical device with a delicate robotic figure dangling out of it, which successfully conveys both GLaDOS's raw power and her femininity."
"#commentary\prtl-Comment014.wav"   "[Erik Wolpaw] The fiction behind this red phone is that, while GLaDOS was being developed, it was somebody's job to sit by it, and, if it ever looked like the AI was becoming sentient and godlike, that person would pick up the phone and call somebody to come help. At the point in time where the actual game takes place, it's become obvious that the Aperture Science Red Phone plan didn't 100% work out."
"#commentary\prtl-Comment015.wav"   "[Kim Swift] One of the things we learned from Narbacular Drop, our student project that became Portal, was that beginning players often thought portals took them into other spaces or even other dimensions. To help fight that notion, we start players in a visually unique room with memorable objects, so that when they walk through a portal for the first time, they have a clear point of reference, which communicates the idea that they're still in the same basic location. For instance, the radio, which is playing an instrumental version of 'Still Alive,' helps as well by providing some audio continuity"
"#commentary\prtl-Comment016.wav"   "[Robin Walker] Portal is effectively an extended player training exercise. We spend a huge portion of the game introducing a series of gameplay tools, then layering these tools into increasingly difficult puzzles. This layering starts here, where we train the button/box mechanic before introducing the more complicated concept of portals."
"#commentary\prtl-Comment017.wav"   "[Gabe Newell] Welcome to insert game name, here.  Hopefully you have already had a chance to enjoy the off-beat perspective and new game mechanic of Portal.  To listen to a commentary node, put your crosshair over the floating commentary symbol and press your use key. To stop a commentary node, put your crosshair over the rotating node and press the use key again. Some commentary nodes may take control of the game in order to show something to you. In these cases, simply press your use key again to stop the commentary.  Please let me know what you think after you have had a chance to play, as we think we are just at the beginning of taking advantage of this type of gameplay. I can be reached at gaben@valvesoftware.com. Thanks, and have fun!"
"#commentary\prtl-Comment018.wav"   "[Bay Raitt] We put the player character in an orange jumpsuit to reinforce the fact that she's a test subject.  Visually, the warmer orange colors help her pop out against the colder tones of the environment.  Some playtesters were wondering why she could fall so far without getting hurt the way she would in Half-Life 2.  In response, we added mechanized heel springs to her lower legs; afterwards, there was no longer any question about why she could survive such long falls."
"#commentary\prtl-Comment019.wav"   "[Realm Lovejoy] These frosted-glass observation rooms make the player feel as if they're being watched at all times, while keeping the identity of these watchers a mystery. The rooms serve a practical purpose as well, since we often use them as convenient and logical light sources for the test chambers."
"#commentary\prtl-Comment020.wav"   "[Garret Rickey] The combination of the prtl-destroying fields (which we call 'fizzlers') and the elevators serve a dual purpose. They provide a clearly identifiable end-point for each test-chamber, while also addressing the more practical problem of how to keep players from portaling across level loads. We eventually integrated the fizzlers into several of our puzzle designs."
"#commentary\prtl-Comment021.wav"   "[Kim Swift] It's absolutely critical that players quickly wrap their heads around what a portal is.  We noticed early playtesters grasped the concept much more quickly when they caught a glimpse of themselves through a portal.  So we deliberately positioned this first portal to ensure that players will invariably see themselves."
"#commentary\prtl-Comment022.wav"   "[Paul Graham] We wanted players to feel safe while standing in a portal, so we never kill them or destroy objects within a portal that's closing. Instead, we either push or teleport objects out of a portal as it closes."
"#commentary\prtl-Comment023.wav"   "[Robin Walker] Because we very deliberately introduce and train each gameplay concept, once players reach this spot, we're confident that they know what a portal is and roughly how it works. Early versions of Portal let players stumble through the beginning of the game without always understanding what was going on, which really compromised teaching new concepts. The puzzle you just finished was designed so that stumbling around will virtually always lead to a dead end. Completing the puzzle requires walking through a minimum of five portals in a specific order. This kind of gating, in which a solid understanding of key gameplay concepts is required for success, helped standardize the learning curve of the game tremendously."
"#commentary\prtl-Comment024.wav"   "[Jason Brashill] In early versions of this map, playtesters would charge down the stairs without noticing what was creating the portals. We introduced a mandatory pause in the action - what we call a gate - to help ensure that players stop and notice the portal gun making a blue portal. A particle effect and a loud noise help draw their attention."
"#commentary\prtl-Comment026.wav"   "[Kerry Davis] This room was designed to make players understand that entrance and exit portals aren't tied to the color of the portal.  Playtesters often assumed that orange portals were exit-only, so we created this puzzle to force players to enter an orange portal."
"#commentary\prtl-Comment027.wav"   "[David Kircher] When rendering the player's view through a portal, we must render a separate image using a virtual camera which looks out of the opposite portal.  To obtain a correct image and efficient rendering performance, we render only what is visible through the limited field of view of the opposite portal and exclude objects which lie between the virtual camera and the plane of the opposite portal."
"#commentary\prtl-Comment029.wav"   "[Nick Maggiore] Early versions of Portal featured more detailed, cluttered environments, much like Half Life 2. We quickly realized that unnecessary objects scattered all over the place distracted players to the point where it actually interfered with the portal training process. So we simplified the art style to favor clean, focused test chambers. The modular approach we settled on makes it look plausible that the chambers can reform dynamically on these pistons."
"#commentary\prtl-Comment032.wav"   "[Chet Faliszek] For training purposes, there's generally just one correct solution to these early puzzles. The original version of this room didn't have the glass barrier. Playtesters would often stand on the button to open the door, and then shoot a blue portal through the opening, bypassing the box entirely. Since this puzzle was meant illustrate the relationship between boxes and buttons, that solution, while clever, was a failure, so we added the glass barrier to prevent it. Later in the game, however, the puzzles become more open-ended."
"#commentary\prtl-Comment035.wav"   "[David Kircher] Integrating portals with the Source engine's physics system was a complex process that required several iterations to achieve the right balance of performance and correctness.  Because portals can be placed virtually anywhere in the game environment, the physics system had to be modified to allow dynamic changes to its representation of colliding geometry, such as the walls and floor around this box, and any objects which may lie on the opposite side of the portal.  Initial implementations of this dynamic collision generation system could take up to one half of one second, or 500 milliseconds, to compute the correct collision.  This may not sound like a long time in everyday life, but this pause during portal creation was quite noticeable in the context of the game.  Ultimately, we designed a system that creates temporary hybrid physics environments in bubbles around the portals using less accurate collision than that produced by Source's standard collision generation, but was accurate enough in practice and reduced the time to create the dynamic collision representation from 500 milliseconds to just 10 milliseconds, which is an imperceptible pause during portal creation."
"#commentary\prtl-Comment036.wav"   "[David Kircher] For the first few months of development, we rendered the views through portals to two offscreen textures. This approach was easy to implement and was compatible with a wide range of graphics hardware.  Unfortunately, this method was incompatible with antialiasing and consumed a large amount of video memory in order to handle recursive views through several portals.  Because of these disadvantages, we switched to a system which renders portal views recursively into the frame buffer with the aid of the stencil buffer to isolate pixels corresponding to a given portal. This is a more effective scheme because it is compatible with antialiasing and does not consume any additional video memory for offscreen textures."
"#commentary\prtl-Comment038.wav"   "[Randy Lundeen] To make puzzles deeper than just teleporting to the exit, we had to include surfaces that won't hold a portal, which are formally introduced here. We experimented with several surface designs before we settled on this one, whose visual noise and reflectivity make it easy to identify at a distance."
"#commentary\prtl-Comment040.wav"   "[Chris Chin] Even though layering player training was a design goal from the start, we still ended up introducing some concepts too quickly. For instance, this used to be the first energy-ball redirection puzzle. Playtesting revealed that this puzzle introduced too many new concepts at once, which ended up frustrating a lot of playtesters. In response, we inserted two test chambers before this one to make the energy-ball redirection training more gradual."
"#commentary\prtl-Comment041.wav"   "[Paul Graham] Because our test chamber environments were simplified for training purposes, we created visual hot spots within the rooms to guide players' attention. The design is essentially a balance between round objects and sharp objects, the sharp objects representing background elements and the round objects - such as doors and moveable props - comprising our points of visual interest."
"#commentary\prtl-Comment043.wav"   "[Jeep Barnett] Originally, these scaffolds ran on electrified tracks.  But, crafty playtesters would hop along the rails to the exit, bypassing the puzzle entirely.  We tried to solve this by killing players as soon as they touched the rails.  That solution ended up being too much of an over correction, as even skilled playtesters were getting frustrated by these one-hit kills, in the more complex puzzles later in the game.  Making the scaffolds run along immaterial beams of light solved both problems."
"#commentary\prtl-Comment044.wav"   "[David Kircher] We previously talked about how we handle static portal collision. But collision with moving objects on the other side of the portal is a completely different and equally hard problem. Walking onto this scaffold was a very iffy proposition for the first few months of development. We solve the problem of colliding with these dynamic objects by cloning the objects from one portal to the other and strictly controlling what objects are allowed to collide with each other and how they're allowed to collide."
